LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
LUX,GDP,TOT,USD_CAP,A,2020,118582.2011,E
IRL,GDP,TOT,USD_CAP,A,2020,95512.5861,
CHE,GDP,TOT,USD_CAP,A,2020,71297.50935,P
USA,GDP,TOT,USD_CAP,A,2020,63415.03308,
NOR,GDP,TOT,USD_CAP,A,2020,63293.19691,
DNK,GDP,TOT,USD_CAP,A,2020,60413.00189,
NLD,GDP,TOT,USD_CAP,A,2020,59334.69685,
ISL,GDP,TOT,USD_CAP,A,2020,55492.40915,P
AUT,GDP,TOT,USD_CAP,A,2020,55340.4076,P
SWE,GDP,TOT,USD_CAP,A,2020,54847.82683,P
DEU,GDP,TOT,USD_CAP,A,2020,53812.00505,P
BEL,GDP,TOT,USD_CAP,A,2020,52062.80632,E
AUS,GDP,TOT,USD_CAP,A,2020,51742.5742,
FIN,GDP,TOT,USD_CAP,A,2020,51095.53296,
CAN,GDP,TOT,USD_CAP,A,2020,48090.98651,E
EA19,GDP,TOT,USD_CAP,A,2020,46821.36308,
FRA,GDP,TOT,USD_CAP,A,2020,46537.02271,E
SAU,GDP,TOT,USD_CAP,A,2020,46362.64949,P
GBR,GDP,TOT,USD_CAP,A,2020,44929.10161,E
OECD,GDP,TOT,USD_CAP,A,2020,44813.23353,
NZL,GDP,TOT,USD_CAP,A,2020,44049.92043,P
OECDE,GDP,TOT,USD_CAP,A,2020,43641.804,E
KOR,GDP,TOT,USD_CAP,A,2020,43058.25424,
MLT,GDP,TOT,USD_CAP,A,2020,43026.44717,P
ISR,GDP,TOT,USD_CAP,A,2020,41859.02529,
CZE,GDP,TOT,USD_CAP,A,2020,41737.41807,P
ITA,GDP,TOT,USD_CAP,A,2020,41491.86819,P
EU27_2020,GDP,TOT,USD_CAP,A,2020,41351.75848,
SVN,GDP,TOT,USD_CAP,A,2020,39537.13882,E
LTU,GDP,TOT,USD_CAP,A,2020,38734.25242,E
CYP,GDP,TOT,USD_CAP,A,2020,38602.69773,E
EST,GDP,TOT,USD_CAP,A,2020,38454.31514,
ESP,GDP,TOT,USD_CAP,A,2020,38334.62251,E
PRT,GDP,TOT,USD_CAP,A,2020,34519.95552,
POL,GDP,TOT,USD_CAP,A,2020,34003.60814,E
HUN,GDP,TOT,USD_CAP,A,2020,33084.22181,E
LVA,GDP,TOT,USD_CAP,A,2020,32028.05583,
ROU,GDP,TOT,USD_CAP,A,2020,31875.14911,
SVK,GDP,TOT,USD_CAP,A,2020,31822.05285,
HRV,GDP,TOT,USD_CAP,A,2020,28593.99328,
GRC,GDP,TOT,USD_CAP,A,2020,28485.78642,E
TUR,GDP,TOT,USD_CAP,A,2020,28441.18401,P
CHL,GDP,TOT,USD_CAP,A,2020,24647.63046,E
BGR,GDP,TOT,USD_CAP,A,2020,24349.7241,P
CRI,GDP,TOT,USD_CAP,A,2020,20972.42983,
MEX,GDP,TOT,USD_CAP,A,2020,19127.37517,P
COL,GDP,TOT,USD_CAP,A,2020,14994.31391,